,Drug,Model,Metric,Score
100,Amyl,Random_Forest,Accuracy,0.8072033898305084
101,Amyl,Random_Forest,F1_Score,0.272
102,Amyl,Random_Forest,AUC,0.6977266392046334
103,Amyl,SVC,Precision,0.33774834437086093
104,Amyl,SVC,Recall,0.6144578313253012
105,Amyl,SVC,Accuracy,0.7203389830508474
106,Amyl,SVC,F1_Score,0.43589743589743585
107,Amyl,SVC,AUC,0.722055316381206
108,Amyl,Linear_SVC,Precision,0.30057803468208094
109,Amyl,Linear_SVC,Recall,0.6265060240963856
110,Amyl,Linear_SVC,Accuracy,0.6779661016949152
111,Amyl,Linear_SVC,F1_Score,0.40625
112,Amyl,SGD,Precision,0.3548387096774194
113,Amyl,SGD,Recall,0.6626506024096386
114,Amyl,SGD,Accuracy,0.7288135593220338
115,Amyl,SGD,F1_Score,0.4621848739495799
116,Amyl,SGD,AUC,0.7373555920339455
117,Benzos,Logistic_Regression,Precision,0.6206896551724138
118,Benzos,Logistic_Regression,Recall,0.6847826086956522
119,Benzos,Logistic_Regression,Accuracy,0.7139830508474576
120,Benzos,Logistic_Regression,F1_Score,0.6511627906976745
121,Benzos,Logistic_Regression,AUC,0.7675309480676328
122,Benzos,NB_Gaussian,Precision,0.5812807881773399
123,Benzos,NB_Gaussian,Recall,0.6413043478260869
124,Benzos,NB_Gaussian,Accuracy,0.6800847457627118
125,Benzos,NB_Gaussian,F1_Score,0.6098191214470284
126,Benzos,NB_Gaussian,AUC,0.7161269625603865
127,Benzos,KNN,Precision,0.5326633165829145
128,Benzos,KNN,Recall,0.5760869565217391
129,Benzos,KNN,Accuracy,0.6377118644067796
130,Benzos,KNN,F1_Score,0.5535248041775457
131,Benzos,KNN,AUC,0.6265851449275363
132,Benzos,Decision_Tree,Precision,0.5094339622641509
133,Benzos,Decision_Tree,Recall,0.5869565217391305
134,Benzos,Decision_Tree,Accuracy,0.6186440677966102
135,Benzos,Decision_Tree,F1_Score,0.5454545454545454
136,Benzos,Decision_Tree,AUC,0.6129227053140096
137,Benzos,Random_Forest,Precision,0.5803108808290155
138,Benzos,Random_Forest,Recall,0.6086956521739131
139,Benzos,Random_Forest,Accuracy,0.6758474576271186
140,Benzos,Random_Forest,F1_Score,0.5941644562334217
141,Benzos,Random_Forest,AUC,0.7489338013285024
142,Benzos,SVC,Precision,0.5972222222222222
143,Benzos,SVC,Recall,0.7010869565217391
144,Benzos,SVC,Accuracy,0.6991525423728814
145,Benzos,SVC,F1_Score,0.645
146,Benzos,SVC,AUC,0.7689085144927537
147,Benzos,Linear_SVC,Precision,0.634020618556701
148,Benzos,Linear_SVC,Recall,0.6684782608695652
149,Benzos,Linear_SVC,Accuracy,0.7203389830508474
150,Benzos,Linear_SVC,F1_Score,0.6507936507936508
151,Benzos,SGD,Precision,0.5921787709497207
152,Benzos,SGD,Recall,0.5760869565217391
153,Benzos,SGD,Accuracy,0.6800847457627118
154,Benzos,SGD,F1_Score,0.5840220385674931
155,Benzos,SGD,AUC,0.7219957729468599
156,Caffeine,Logistic_Regression,Precision,0.9705882352941176
157,Caffeine,Logistic_Regression,Recall,0.7960526315789473
158,Caffeine,Logistic_Regression,Accuracy,0.7796610169491526
159,Caffeine,Logistic_Regression,F1_Score,0.8746987951807228
160,Caffeine,Logistic_Regression,AUC,0.5623629385964912
161,Caffeine,NB_Gaussian,Precision,0.9454545454545454
162,Caffeine,NB_Gaussian,Recall,0.22807017543859648
163,Caffeine,NB_Gaussian,Accuracy,0.24152542372881355
164,Caffeine,NB_Gaussian,F1_Score,0.3674911660777385
165,Caffeine,NB_Gaussian,AUC,0.5217927631578948
166,Caffeine,KNN,Precision,0.9658314350797267
167,Caffeine,KNN,Recall,0.9298245614035088
168,Caffeine,KNN,Accuracy,0.9004237288135594
169,Caffeine,KNN,F1_Score,0.9474860335195531
170,Caffeine,KNN,AUC,0.4961622807017544
171,Caffeine,Decision_Tree,Precision,0.9716157205240175
172,Caffeine,Decision_Tree,Recall,0.9758771929824561
173,Caffeine,Decision_Tree,Accuracy,0.9491525423728814
174,Caffeine,Decision_Tree,F1_Score,0.973741794310722
175,Caffeine,Decision_Tree,AUC,0.5816885964912281
176,Caffeine,Random_Forest,Precision,0.9658119658119658
177,Caffeine,Random_Forest,Recall,0.9912280701754386
178,Caffeine,Random_Forest,Accuracy,0.9576271186440678
179,Caffeine,Random_Forest,F1_Score,0.9783549783549784
180,Caffeine,Random_Forest,AUC,0.6812637061403509
181,Caffeine,SVC,Precision,0.9709443099273608
182,Caffeine,SVC,Recall,0.8793859649122807
183,Caffeine,SVC,Accuracy,0.8580508474576272
184,Caffeine,SVC,F1_Score,0.9228998849252015
185,Caffeine,SVC,AUC,0.6206140350877193
186,Caffeine,Linear_SVC,Precision,0.9728997289972899
187,Caffeine,Linear_SVC,Recall,0.7872807017543859
188,Caffeine,Linear_SVC,Accuracy,0.7733050847457628
189,Caffeine,Linear_SVC,F1_Score,0.8703030303030302
190,Caffeine,SGD,Precision,0.9708994708994709
191,Caffeine,SGD,Recall,0.8048245614035088
192,Caffeine,SGD,Accuracy,0.788135593220339
193,Caffeine,SGD,F1_Score,0.880095923261391
194,Caffeine,SGD,AUC,0.5790844298245614
195,Cannabis,Logistic_Regression,Precision,0.9
196,Cannabis,Logistic_Regression,Recall,0.7572815533980582
197,Cannabis,Logistic_Regression,Accuracy,0.7860169491525424
198,Cannabis,Logistic_Regression,F1_Score,0.8224956063268892
199,Cannabis,Logistic_Regression,AUC,0.8833164572041218
200,Cannabis,NB_Gaussian,Precision,0.8846153846153846
201,Cannabis,NB_Gaussian,Recall,0.22330097087378642
202,Cannabis,NB_Gaussian,Accuracy,0.4724576271186441
203,Cannabis,NB_Gaussian,F1_Score,0.35658914728682173
204,Cannabis,NB_Gaussian,AUC,0.8032441876625569
205,Cannabis,KNN,Precision,0.823728813559322
206,Cannabis,KNN,Recall,0.7864077669902912
207,Cannabis,KNN,Accuracy,0.75
208,Cannabis,KNN,F1_Score,0.804635761589404
209,Cannabis,KNN,AUC,0.733694681041158
210,Cannabis,Decision_Tree,Precision,0.8120805369127517
211,Cannabis,Decision_Tree,Recall,0.7831715210355987
212,Cannabis,Decision_Tree,Accuracy,0.739406779661017
213,Cannabis,Decision_Tree,F1_Score,0.7973640856672158
214,Cannabis,Decision_Tree,AUC,0.7198066194135049
215,Cannabis,Random_Forest,Precision,0.8547854785478548
216,Cannabis,Random_Forest,Recall,0.8381877022653722
217,Cannabis,Random_Forest,Accuracy,0.8008474576271186
218,Cannabis,Random_Forest,F1_Score,0.8464052287581699
219,Cannabis,Random_Forest,AUC,0.8793456032719837
220,Cannabis,SVC,Precision,0.9149797570850202
221,Cannabis,SVC,Recall,0.7313915857605178
222,Cannabis,SVC,Accuracy,0.7796610169491526
223,Cannabis,SVC,F1_Score,0.8129496402877697
224,Cannabis,SVC,AUC,0.8722774832727778
225,Cannabis,Linear_SVC,Precision,0.9051383399209486
226,Cannabis,Linear_SVC,Recall,0.7411003236245954
227,Cannabis,Linear_SVC,Accuracy,0.7796610169491526
228,Cannabis,Linear_SVC,F1_Score,0.8149466192170818
229,Cannabis,SGD,Precision,0.8893805309734514
230,Cannabis,SGD,Recall,0.6504854368932039
231,Cannabis,SGD,Accuracy,0.7182203389830508
232,Cannabis,SGD,F1_Score,0.7514018691588785
233,Cannabis,SGD,AUC,0.8240514622669605
234,Chocolate,Logistic_Regression,Precision,0.9869451697127938
235,Chocolate,Logistic_Regression,Recall,0.8111587982832618
236,Chocolate,Logistic_Regression,Accuracy,0.8029661016949152
237,Chocolate,Logistic_Regression,F1_Score,0.8904593639575972
238,Chocolate,Logistic_Regression,AUC,0.44134477825464946
239,Chocolate,NB_Gaussian,Precision,1.0
240,Chocolate,NB_Gaussian,Recall,0.0407725321888412
241,Chocolate,NB_Gaussian,Accuracy,0.05296610169491525
242,Chocolate,NB_Gaussian,F1_Score,0.07835051546391752
243,Chocolate,NB_Gaussian,AUC,0.6223175965665235
244,Chocolate,KNN,Precision,0.9864253393665159
245,Chocolate,KNN,Recall,0.9356223175965666
246,Chocolate,KNN,Accuracy,0.923728813559322
247,Chocolate,KNN,F1_Score,0.960352422907489
248,Chocolate,KNN,AUC,0.4678111587982833
249,Chocolate,Decision_Tree,Precision,0.9867549668874173
250,Chocolate,Decision_Tree,Recall,0.9592274678111588
251,Chocolate,Decision_Tree,Accuracy,0.9470338983050848
252,Chocolate,Decision_Tree,F1_Score,0.9727965179542981
253,Chocolate,Decision_Tree,AUC,0.4796137339055794
254,Chocolate,Random_Forest,Precision,0.9872881355932204
255,Chocolate,Random_Forest,Recall,1.0
256,Chocolate,Random_Forest,Accuracy,0.9872881355932204
257,Chocolate,Random_Forest,F1_Score,0.9936034115138593
258,Chocolate,Random_Forest,AUC,0.18454935622317598
259,Chocolate,SVC,Precision,0.9880668257756563
260,Chocolate,SVC,Recall,0.8884120171673819
261,Chocolate,SVC,Accuracy,0.8792372881355932
262,Chocolate,SVC,F1_Score,0.9355932203389831
263,Chocolate,SVC,AUC,0.5398783977110158
264,Chocolate,Linear_SVC,Precision,0.9867724867724867
